SERIAL,TITLE,ARTIST,VALUE,KEY,AVG,,,,,,,,,,
1,Don't Call Me Baby - Mousse T. Remix,Madison Avenue,17,0,21.79591837,,,,,,,,,,
2,All Over The World,Fedde Le Grand,17,0,21.79591837,,,,,,,,,,
3,Roll 'n Rock,Bali Bandits,14,0,21.79591837,,,,,,,,,,
4,Nothing To Do,Bancali,13,0,21.79591837,,,,,,,,,,
5,New World Sound,Tom & Jame,12,0,21.79591837,,,,,,,,,,
6,Future Is Now,Madison Mars,9,0,21.79591837,,,,,,,,,,
7,I'll Live On,Swanky Tunes,7,0,21.79591837,,,,,,,,,,
8,Riverside 2099,Oliver Heldens,7,0,21.79591837,,,,,,,,,,
9,Renegade,Steff da Campo,7,0,21.79591837,,,,,,,,,,
10,Count On You,Triple M,6,0,21.79591837,,,,,,,,,,
11,Party Tutorial,Cut Snake,87,1,69.24489796,,,,,,,,,,
12,1977,ricky retro,87,1,69.24489796,,,,,,,,,,
13,Bam Bam,Laidback Luke,85,1,69.24489796,,,,,,,,,,
14,Joys - Todd Terry Mix,Roberto Surace,84,1,69.24489796,,,,,,,,,,
15,Body Funk,Purple Disco Machine,84,1,69.24489796,,,,,,,,,,
16,Dominos,Northeast Party House,82,1,69.24489796,,,,,,,,,,
17,Too Much,Curbi,80,1,69.24489796,,,,,,,,,,
18,Riverside 2099,Oliver Heldens,80,1,69.24489796,,,,,,,,,,
19,Don't Call Me Baby - Mousse T. Remix,Madison Avenue,79,1,69.24489796,,,,,,,,,,
20,Take Off,RetroVision,78,1,69.24489796,,,,,,,,,,
21,Get Funky,Kryder,99,2,61.57142857,,,,,,,,,,
22,Had Enough,Mantrastic,99,2,61.57142857,,,,,,,,,,
23,Space Disco (feat. Roland Clark),Dave Ruthwell,99,2,61.57142857,,,,,,,,,,
24,Joys - Todd Terry Mix,Roberto Surace,98,2,61.57142857,,,,,,,,,,
25,Too Much,Curbi,98,2,61.57142857,,,,,,,,,,
26,Saltillo,Scotty Boy,98,2,61.57142857,,,,,,,,,,
27,All Over The World,Fedde Le Grand,98,2,61.57142857,,,,,,,,,,
28,Send It,Steve Aoki,98,2,61.57142857,,,,,,,,,,
29,Don't Stop,Tiësto,98,2,61.57142857,,,,,,,,,,
30,Travolta,Arno Cost,98,2,61.57142857,,,,,,,,,,
31,Future Is Now,Madison Mars,-2,3,79.49505901,,,,,,,,,,
32,The Wall,Alok,-2,3,79.49505901,,,,,,,,,,
33,I'll Live On,Swanky Tunes,-2,3,79.49505901,,,,,,,,,,
34,Saltillo,Scotty Boy,-3,3,79.49505901,,,,,,,,,,
35,Don't Stop,Tiësto,-3,3,79.49505901,,,,,,,,,,
36,Incognito,Dlugosh,-3,3,79.49505901,,,,,,,,,,
37,Duende,Olav Basoski,-3,3,79.49505901,,,,,,,,,,
38,Thing For You - Tom Staar Remix,David Guetta,-3,3,79.49505901,,,,,,,,,,
39,Easy Boy,GATTÜSO,-3,3,79.49505901,,,,,,,,,,
40,Believe It,Holl & Rush,-3,3,79.49505901,,,,,,,,,,
41,Joys - Todd Terry Mix,Roberto Surace,92,4,51.48979592,,,,,,,,,,
42,Party Tutorial,Cut Snake,91,4,51.48979592,,,,,,,,,,
43,Just a Groove,On Deck,89,4,51.48979592,,,,,,,,,,
44,Glitches - Yvvan Back Remix Edit,Croatia Squad,89,4,51.48979592,,,,,,,,,,
45,Too Much,Curbi,85,4,51.48979592,,,,,,,,,,
46,Call Me,Hannah Wants,85,4,51.48979592,,,,,,,,,,
47,All Over The World,Fedde Le Grand,79,4,51.48979592,,,,,,,,,,
48,I'll Live On,Swanky Tunes,75,4,51.48979592,,,,,,,,,,
49,Body Funk,Purple Disco Machine,74,4,51.48979592,,,,,,,,,,
50,Dominos,Northeast Party House,73,4,51.48979592,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
